Model,Ranking Correlation,SHAP Variance,Top-3 Consistency,Top-5 Consistency,Top-10 Consistency
XGBoost,0.5616370037003698,0.00032727188266383353,0.3222222222222222,0.4266666666666667,0.3966666666666667
Random Forest,0.9088686868686868,0.0001589250877688136,0.35555555555555557,0.3533333333333334,0.59
Logistic Regression,0.6157136913691367,0.0002985462983803996,0.16666666666666663,0.12666666666666668,0.08333333333333334
